dpa_provincia,provincia,tasa_desempleo,tasa_subempleo,tasa_empleo_adecuado
01,AZUAY,3.29308095258713,14.54977246266511,41.919619394417815
02,BOLÍVAR,0.5315163208130287,19.596565911995988,20.746651094300763
03,CAÑAR,3.2400325363633775,16.397428256999333,29.146306764786857
04,CARCHI,4.385832677795079,17.60884122225981,32.8653450320304
05,COTOPAXI,1.7249306840788852,19.29845965152932,27.918642420266746
06,CHIMBORAZO,1.2860048746108907,20.685519289583734,22.1028358317029
07,EL ORO,4.82949258067378,19.591122134888582,45.873759189094976
08,ESMERALDAS,8.913156741892365,23.64576671587763,26.75712683072101
09,GUAYAS,2.7931712447466333,26.061351999897997,40.71365942248739
10,IMBABURA,6.203418838914258,19.664490656837764,28.92730891665936
11,LOJA,3.2413714580942443,19.552372898219833,24.182741031919118
12,LOS RÍOS,1.615766270101359,21.522636092584175,36.857514526506996
13,MANABÍ,1.4639483460454041,30.72292222977883,28.38706719996954
14,MORONA SANTIAGO,2.3950928767141626,10.328360618843782,22.22107774654656
15,NAPO,0.47373718090843914,27.047252583170632,8.779871794365375
16,PASTAZA,0.3743647921621128,27.704021667619564,10.049883142775554
17,PICHINCHA,6.917178217539389,15.611585955369288,52.67081926849003
18,TUNGURAHUA,2.404372092681024,22.375812175752046,30.134313940834268
19,ZAMORA CHINCHIPE,3.455478977345455,17.669967488366005,29.32946326461134
20,GALÁPAGOS,3.048096111849092,6.808881157993062,50.121852701718815
21,SUCUMBÍOS,5.853734719516532,19.582283063234666,26.613878658342333
22,ORELLANA,1.520381613854769,11.976364449056007,12.54409698451202
23,SANTO DOMINGO DE LOS TSÁCHILAS,0.7959921412093066,16.971610702961293,35.265799667522714
24,SANTA ELENA,2.332069187938019,29.561366099139494,25.76725839579882
