anio,trimestre,periodo,dpa_provin,provincia,tasa_desempleo,tasa_subempleo,tasa_empleo_adecuado,fuente
2018,4,dic-18,,Azuay,2.635624274918885,9.853932255153335,44.61080336077524,tabulados_marco_oficial
2018,4,dic-18,,Bolívar,1.6255770789241777,15.451403304103,23.359281141303853,tabulados_marco_oficial
2018,4,dic-18,,Carchi,5.723105612162569,9.23324302769124,32.04731169490405,tabulados_marco_oficial
2018,4,dic-18,,Cañar,4.192941567895515,13.05196884565219,31.42786001276276,tabulados_marco_oficial
2018,4,dic-18,,Chimborazo,2.0307168694760867,19.252391420041675,17.751187248387687,tabulados_marco_oficial
2018,4,dic-18,,Cotopaxi,0.9670644900749382,9.4853567052621,30.55717575702277,tabulados_marco_oficial
2018,4,dic-18,,El Oro,4.491173064298817,14.317541782876038,48.457405386769416,tabulados_marco_oficial
2018,4,dic-18,,Esmeraldas,5.072337137423202,14.670186691164854,27.719363693993,tabulados_marco_oficial
2018,4,dic-18,,Guayas,2.845604451528046,21.810639829999158,46.52233892656832,tabulados_marco_oficial
2018,4,dic-18,,Imbabura,2.6985605460768127,16.752466260005342,30.763221067740204,tabulados_marco_oficial
2018,4,dic-18,,Loja,2.993115650285992,14.57016088066024,33.90384193811508,tabulados_marco_oficial
2018,4,dic-18,,Los Ríos,3.174764239882177,26.993185448694867,35.211810280327114,tabulados_marco_oficial
2018,4,dic-18,,Manabí,2.1573847462687508,21.92002429253722,32.24259494002917,tabulados_marco_oficial
2018,4,dic-18,,Morona Santiago,0.6613614850366986,7.637794194909907,27.61822144457041,tabulados_marco_oficial
2018,4,dic-18,,Napo,3.1940940273796685,17.120139217408997,29.02993196284564,tabulados_marco_oficial
2018,4,dic-18,,Orellana,3.75502562840772,17.077186681174595,26.039948649334555,tabulados_marco_oficial
2018,4,dic-18,,Pastaza,2.440553417969052,11.18166235461835,30.05147566357057,tabulados_marco_oficial
2018,4,dic-18,,Pichincha,7.220914139255213,10.585639653218378,56.65364306887859,tabulados_marco_oficial
2018,4,dic-18,,Santa Elena,2.778451454611476,24.298242142224087,31.52058985399253,tabulados_marco_oficial
2018,4,dic-18,,Santo Domingo de los Tsáchilas,3.308880760465279,15.662360854805913,38.95237293294893,tabulados_marco_oficial
2018,4,dic-18,,Sucumbíos,8.621970498661183,5.015643146161645,30.101118351215803,tabulados_marco_oficial
2018,4,dic-18,,Tungurahua,2.008390766294821,12.411763825458076,36.29121397314838,tabulados_marco_oficial
2018,4,dic-18,,Zamora Chinchipe,5.9265979067195484,12.747840503696782,25.387676789960825,tabulados_marco_oficial
2024,2,2024-Q2,01,Azuay,3.2930809525871294,14.549772462665109,41.9196193944178,microdatos_bdd
2024,2,2024-Q2,02,Bolívar,0.5315163208130288,19.596565911995988,20.746651094300763,microdatos_bdd
2024,2,2024-Q2,03,Cañar,3.240032536363377,16.397428256999337,29.14630676478684,microdatos_bdd
2024,2,2024-Q2,04,Carchi,4.385832677795078,17.60884122225981,32.8653450320304,microdatos_bdd
2024,2,2024-Q2,05,Cotopaxi,1.7249306840788856,19.29845965152932,27.918642420266746,microdatos_bdd
2024,2,2024-Q2,06,Chimborazo,1.2860048746108912,20.685519289583745,22.102835831702905,microdatos_bdd
2024,2,2024-Q2,07,El Oro,4.829492580673779,19.591122134888575,45.87375918909497,microdatos_bdd
2024,2,2024-Q2,08,Esmeraldas,8.913156741892365,23.64576671587763,26.75712683072101,microdatos_bdd
2024,2,2024-Q2,09,Guayas,2.7931712447466333,26.061351999898,40.713659422487396,microdatos_bdd
2024,2,2024-Q2,10,Imbabura,6.203418838914258,19.66449065683776,28.92730891665936,microdatos_bdd
2024,2,2024-Q2,11,Loja,3.2413714580942434,19.552372898219826,24.182741031919115,microdatos_bdd
2024,2,2024-Q2,12,Los Ríos,1.6157662701013589,21.522636092584175,36.85751452650698,microdatos_bdd
2024,2,2024-Q2,13,Manabí,1.463948346045404,30.72292222977883,28.38706719996954,microdatos_bdd
2024,2,2024-Q2,14,Morona Santiago,2.3950928767141626,10.328360618843785,22.22107774654656,microdatos_bdd
2024,2,2024-Q2,15,Napo,0.47373718090843914,27.047252583170636,8.779871794365375,microdatos_bdd
2024,2,2024-Q2,16,Pastaza,0.3743647921621128,27.704021667619564,10.049883142775554,microdatos_bdd
2024,2,2024-Q2,17,Pichincha,6.917178217539391,15.611585955369288,52.67081926849003,microdatos_bdd
2024,2,2024-Q2,18,Tungurahua,2.404372092681024,22.375812175752046,30.13431394083426,microdatos_bdd
2024,2,2024-Q2,19,Zamora Chinchipe,3.4554789773454537,17.669967488366,29.329463264611334,microdatos_bdd
2024,2,2024-Q2,20,Galápagos,3.048096111849092,6.808881157993063,50.12185270171882,microdatos_bdd
2024,2,2024-Q2,21,Sucumbíos,5.853734719516533,19.582283063234662,26.613878658342333,microdatos_bdd
2024,2,2024-Q2,22,Orellana,1.5203816138547683,11.976364449056003,12.54409698451202,microdatos_bdd
2024,2,2024-Q2,23,Santo Domingo de los Tsáchilas,0.7959921412093066,16.971610702961293,35.265799667522714,microdatos_bdd
2024,2,2024-Q2,24,Santa Elena,2.332069187938019,29.56136609913949,25.767258395798816,microdatos_bdd
