provincia,anio,poblacion,dpa_provin
Cotopaxi,1998,353536.0,05
Chimborazo,1998,441764.0,06
El Oro,1998,515229.0,07
Esmeraldas,1998,439475.0,08
Guayas,1998,2947072.0,09
Imbabura,1998,345099.0,10
Loja,1998,449013.0,11
Los Ríos,1998,639589.0,12
Manabí,1998,1267754.0,13
Morona Santiago,1998,117650.0,14
Napo,1998,83211.0,15
Pastaza,1998,57189.0,16
Pichincha,1998,1981585.0,17
Tungurahua,1998,447007.0,18
Zamora,1998,76381.0,19
Galápagos,1998,15595.0,20
Sucumbíos,1998,115444.0,21
Orellana,1998,75945.0,22
Santo Domingo,1998,305850.0,23
Santa Elena,1998,222847.0,24
Azuay,1999,607392.0,01
Bolívar,1999,190087.0,02
Cañar,1999,211292.0,03
Carchi,1999,178469.0,04
Cotopaxi,1999,359149.0,05
Chimborazo,1999,446007.0,06
El Oro,1999,524612.0,07
Esmeraldas,1999,448881.0,08
Guayas,1999,3005756.0,09
Imbabura,1999,351208.0,10
Loja,1999,451543.0,11
Los Ríos,1999,649674.0,12
Manabí,1999,1273773.0,13
Morona Santiago,1999,120707.0,14
Napo,1999,85075.0,15
Pastaza,1999,59084.0,16
Pichincha,1999,2028354.0,17
Tungurahua,1999,452232.0,18
Zamora,1999,77856.0,19
Galápagos,1999,16500.0,20
Sucumbíos,1999,120691.0,21
Orellana,1999,80845.0,22
Santo Domingo,1999,314167.0,23
Santa Elena,1999,228340.0,24
Azuay,2000,613355.0,01
Bolívar,2000,191962.0,02
Cañar,2000,212575.0,03
Carchi,2000,178395.0,04
Cotopaxi,2000,364516.0,05
Chimborazo,2000,449866.0,06
El Oro,2000,533882.0,07
Esmeraldas,2000,458022.0,08
Guayas,2000,3061826.0,09
Imbabura,2000,357361.0,10
Loja,2000,453820.0,11
Los Ríos,2000,659142.0,12
Manabí,2000,1278102.0,13
Morona Santiago,2000,123791.0,14
Napo,2000,86910.0,15
Pastaza,2000,61011.0,16
Pichincha,2000,2073661.0,17
Tungurahua,2000,457331.0,18
Zamora,2000,79389.0,19
Galápagos,2000,17476.0,20
Sucumbíos,2000,125937.0,21
Orellana,2000,85815.0,22
Santo Domingo,2000,322536.0,23
Santa Elena,2000,233893.0,24
Azuay,2001,619741.0,01
Bolívar,2001,193794.0,02
Cañar,2001,213914.0,03
Carchi,2001,177822.0,04
Cotopaxi,2001,369647.0,05
Chimborazo,2001,453366.0,06
El Oro,2001,543132.0,07
Esmeraldas,2001,466956.0,08
Guayas,2001,3119134.0,09
Imbabura,2001,363558.0,10
Loja,2001,455946.0,11
Los Ríos,2001,668881.0,12
Manabí,2001,1282463.0,13
Morona Santiago,2001,126679.0,14
Napo,2001,88763.0,15
Pastaza,2001,62997.0,16
Pichincha,2001,2119884.0,17
Tungurahua,2001,462473.0,18
Zamora,2001,80972.0,19
Galápagos,2001,18487.0,20
Sucumbíos,2001,131204.0,21
Orellana,2001,90836.0,22
Santo Domingo,2001,331036.0,23
Santa Elena,2001,239682.0,24
Azuay,2002,627793.0,01
Bolívar,2002,195475.0,02
Cañar,2002,215322.0,03
Carchi,2002,176966.0,04
Cotopaxi,2002,374590.0,05
Chimborazo,2002,456521.0,06
El Oro,2002,552420.0,07
Esmeraldas,2002,475737.0,08
Guayas,2002,3183617.0,09
Imbabura,2002,369758.0,10
Loja,2002,458083.0,11
Los Ríos,2002,680047.0,12
Manabí,2002,1289492.0,13
Morona Santiago,2002,129389.0,14
Napo,2002,90768.0,15
