provincia,anio,poblacion,dpa_provin
Tungurahua,2025,581842.0,18
Zamora,2025,118936.0,19
Galápagos,2025,30265.0,20
Sucumbíos,2025,204121.0,21
Orellana,2025,196020.0,22
Santo Domingo,2025,528509.0,23
Santa Elena,2025,406947.0,24
Azuay,2026,839268.0,01
Bolívar,2026,204620.0,02
Cañar,2026,237517.0,03
Carchi,2026,176748.0,04
Cotopaxi,2026,497544.0,05
Chimborazo,2026,486213.0,06
El Oro,2026,757938.0,07
Esmeraldas,2026,609590.0,08
Guayas,2026,4835479.0,09
Imbabura,2026,502275.0,10
Loja,2026,499729.0,11
Los Ríos,2026,988852.0,12
Manabí,2026,1731039.0,13
Morona Santiago,2026,213457.0,14
Napo,2026,142465.0,15
Pastaza,2026,122784.0,16
Pichincha,2026,3316636.0,17
Tungurahua,2026,584638.0,18
Zamora,2026,120221.0,19
Galápagos,2026,30448.0,20
Sucumbíos,2026,203164.0,21
Orellana,2026,199171.0,22
Santo Domingo,2026,533522.0,23
Santa Elena,2026,410498.0,24
Azuay,2027,843983.0,01
Bolívar,2027,205236.0,02
Cañar,2027,237644.0,03
Carchi,2027,176815.0,04
Cotopaxi,2027,501668.0,05
Chimborazo,2027,485374.0,06
El Oro,2027,763142.0,07
Esmeraldas,2027,614103.0,08
Guayas,2027,4881910.0,09
Imbabura,2027,506433.0,10
Loja,2027,501237.0,11
Los Ríos,2027,999496.0,12
Manabí,2027,1747273.0,13
Morona Santiago,2027,217066.0,14
Napo,2027,144438.0,15
Pastaza,2027,124603.0,16
Pichincha,2027,3338444.0,17
Tungurahua,2027,587499.0,18
Zamora,2027,121502.0,19
Galápagos,2027,30632.0,20
Sucumbíos,2027,202499.0,21
Orellana,2027,202301.0,22
Santo Domingo,2027,538564.0,23
Santa Elena,2027,414113.0,24
Azuay,2028,848908.0,01
Bolívar,2028,206159.0,02
Cañar,2028,237847.0,03
Carchi,2028,177057.0,04
Cotopaxi,2028,505776.0,05
Chimborazo,2028,484851.0,06
El Oro,2028,768493.0,07
Esmeraldas,2028,618819.0,08
Guayas,2028,4927443.0,09
Imbabura,2028,510612.0,10
Loja,2028,502958.0,11
Los Ríos,2028,1010214.0,12
Manabí,2028,1763587.0,13
Morona Santiago,2028,220689.0,14
Napo,2028,146405.0,15
Pastaza,2028,126399.0,16
Pichincha,2028,3359670.0,17
Tungurahua,2028,590528.0,18
Zamora,2028,122777.0,19
Galápagos,2028,30818.0,20
Sucumbíos,2028,202158.0,21
Orellana,2028,205426.0,22
Santo Domingo,2028,543632.0,23
Santa Elena,2028,417895.0,24
Azuay,2029,853919.0,01
Bolívar,2029,207239.0,02
Cañar,2029,238122.0,03
Carchi,2029,177391.0,04
Cotopaxi,2029,509882.0,05
Chimborazo,2029,484610.0,06
El Oro,2029,773921.0,07
Esmeraldas,2029,623727.0,08
Guayas,2029,4972085.0,09
Imbabura,2029,514811.0,10
Loja,2029,504877.0,11
Los Ríos,2029,1020899.0,12
Manabí,2029,1779878.0,13
Morona Santiago,2029,224319.0,14
Napo,2029,148362.0,15
Pastaza,2029,128181.0,16
Pichincha,2029,3380169.0,17
Tungurahua,2029,593715.0,18
Zamora,2029,124048.0,19
Galápagos,2029,31012.0,20
Sucumbíos,2029,202122.0,21
Orellana,2029,208557.0,22
Santo Domingo,2029,548727.0,23
Santa Elena,2029,421883.0,24
Azuay,2030,858961.0,01
Bolívar,2030,208379.0,02
Cañar,2030,238470.0,03
Carchi,2030,177811.0,04
Cotopaxi,2030,513992.0,05
Chimborazo,2030,484622.0,06
El Oro,2030,779385.0,07
Esmeraldas,2030,628809.0,08
Guayas,2030,5015951.0,09
Imbabura,2030,519031.0,10
Loja,2030,506972.0,11
Los Ríos,2030,1031514.0,12
Manabí,2030,1796104.0,13
Morona Santiago,2030,227950.0,14
Napo,2030,150314.0,15
Pastaza,2030,129953.0,16
Pichincha,2030,3399908.0,17
Tungurahua,2030,596994.0,18
Zamora,2030,125314.0,19
Galápagos,2030,31221.0,20
Sucumbíos,2030,202351.0,21
Orellana,2030,211694.0,22
Santo Domingo,2030,553855.0,23
Santa Elena,2030,425942.0,24
Azuay,2031,864010.0,01
Bolívar,2031,209531.0,02
Cañar,2031,238887.0,03
Carchi,2031,178305.0,04
Cotopaxi,2031,518096.0,05
Chimborazo,2031,484855.0,06
El Oro,2031,784854.0,07
Esmeraldas,2031,634044.0,08
Guayas,2031,5059071.0,09
Imbabura,2031,523264.0,10
Loja,2031,509243.0,11
Los Ríos,2031,1042032.0,12
Manabí,2031,1812219.0,13
Morona Santiago,2031,231573.0,14
Napo,2031,152260.0,15
Pastaza,2031,131717.0,16
Pichincha,2031,3418947.0,17
Tungurahua,2031,600304.0,18
Zamora,2031,126578.0,19
Galápagos,2031,31433.0,20
Sucumbíos,2031,202810.0,21
Orellana,2031,214839.0,22
Santo Domingo,2031,559012.0,23
Santa Elena,2031,430040.0,24
Azuay,2032,869042.0,01
Bolívar,2032,210664.0,02
Cañar,2032,239367.0,03
Carchi,2032,178864.0,04
Cotopaxi,2032,522184.0,05
Chimborazo,2032,485283.0,06
El Oro,2032,790306.0,07
Esmeraldas,2032,639410.0,08
Guayas,2032,5101432.0,09
Imbabura,2032,527499.0,10
Loja,2032,511667.0,11
Los Ríos,2032,1052432.0,12
Manabí,2032,1828175.0,13
Morona Santiago,2032,235181.0,14
Napo,2032,154200.0,15
Pastaza,2032,133478.0,16
Pichincha,2032,3437380.0,17
Tungurahua,2032,603607.0,18
Zamora,2032,127839.0,19
Galápagos,2032,31645.0,20
Sucumbíos,2032,203471.0,21
Orellana,2032,217989.0,22
Santo Domingo,2032,564193.0,23
Santa Elena,2032,434170.0,24
Azuay,2033,874050.0,01
Bolívar,2033,211770.0,02
Cañar,2033,239911.0,03
Carchi,2033,179482.0,04
Cotopaxi,2033,526253.0,05
Chimborazo,2033,485889.0,06
El Oro,2033,795732.0,07
Esmeraldas,2033,644893.0,08
Guayas,2033,5143014.0,09
Imbabura,2033,531735.0,10
Loja,2033,514216.0,11
Los Ríos,2033,1062718.0,12
Manabí,2033,1843945.0,13
Morona Santiago,2033,238767.0,14
Napo,2033,156134.0,15
Pastaza,2033,135236.0,16
Pichincha,2033,3455019.0,17
Tungurahua,2033,606908.0,18
Zamora,2033,129096.0,19
Galápagos,2033,31866.0,20
Sucumbíos,2033,204308.0,21
Orellana,2033,221141.0,22
Santo Domingo,2033,569392.0,23
Santa Elena,2033,438284.0,24
Azuay,2034,879038.0,01
Bolívar,2034,212848.0,02
Cañar,2034,240514.0,03
Carchi,2034,180153.0,04
Cotopaxi,2034,530295.0,05
Chimborazo,2034,486649.0,06
El Oro,2034,801122.0,07
Esmeraldas,2034,650470.0,08
Guayas,2034,5183796.0,09
Imbabura,2034,535965.0,10
Loja,2034,516875.0,11
Los Ríos,2034,1072892.0,12
Manabí,2034,1859509.0,13
Morona Santiago,2034,242327.0,14
Napo,2034,158061.0,15
Pastaza,2034,136997.0,16
Pichincha,2034,3471715.0,17
Tungurahua,2034,610212.0,18
Zamora,2034,130349.0,19
Galápagos,2034,32086.0,20
Sucumbíos,2034,205300.0,21
Orellana,2034,224294.0,22
Santo Domingo,2034,574603.0,23
Santa Elena,2034,442382.0,24
Azuay,2035,883986.0,01
Bolívar,2035,213891.0,02
Cañar,2035,241165.0,03
Carchi,2035,180866.0,04
Cotopaxi,2035,534292.0,05
Chimborazo,2035,487539.0,06
El Oro,2035,806453.0,07
Esmeraldas,2035,656106.0,08
Guayas,2035,5223660.0,09
Imbabura,2035,540169.0,10
Loja,2035,519617.0,11
Los Ríos,2035,1082936.0,12
Manabí,2035,1874824.0,13
Morona Santiago,2035,245850.0,14
Napo,2035,159975.0,15
Pastaza,2035,138757.0,16
Pichincha,2035,3487672.0,17
Tungurahua,2035,613505.0,18
Zamora,2035,131593.0,19
Galápagos,2035,32318.0,20
Sucumbíos,2035,206431.0,21
Orellana,2035,227437.0,22
Santo Domingo,2035,579809.0,23
Santa Elena,2035,446452.0,24
